epoch,auc_4,loss,lr,precision_4,python_function,recall_4,val_auc_4,val_loss,val_precision_4,val_python_function,val_recall_4
0,NA,11.53790283203125,0.001,NA,0.433625191450119,NA,NA,11.272876739501953,NA,0.34382495284080505,NA
1,NA,11.269777297973633,0.001,NA,0.379249632358551,NA,NA,11.011482238769531,NA,0.33048805594444275,NA
2,NA,11.00731372833252,0.001,NA,0.3645477592945099,NA,NA,10.755563735961914,NA,0.327600359916687,NA
3,NA,10.750578880310059,0.001,NA,0.35365667939186096,NA,NA,10.505228042602539,NA,0.33137086033821106,NA
4,NA,10.499578475952148,0.001,NA,0.3590291738510132,NA,NA,10.260466575622559,NA,0.3404715061187744,NA
5,NA,10.253443717956543,0.001,NA,0.3719683587551117,NA,NA,10.021194458007812,NA,0.3458159863948822,NA
6,NA,10.013625144958496,0.001,NA,0.3746706247329712,NA,NA,9.78702449798584,NA,0.35870110988616943,NA
7,NA,9.77865982055664,0.001,NA,0.38562512397766113,NA,NA,9.558571815490723,NA,0.3648364543914795,NA
8,NA,9.55020809173584,0.001,NA,0.3873583674430847,NA,NA,9.335598945617676,NA,0.37194666266441345,NA
9,NA,9.326034545898438,0.001,NA,0.3936207592487335,NA,NA,9.117509841918945,NA,0.3764575719833374,NA
10,NA,9.107563018798828,0.001,NA,0.3912655711174011,NA,NA,8.90489673614502,NA,0.37938806414604187,NA
11,NA,8.894680976867676,0.001,NA,0.3970172107219696,NA,NA,8.697627067565918,NA,0.38121670484542847,NA
12,NA,8.687200546264648,0.001,NA,0.39996692538261414,NA,NA,8.495179176330566,NA,0.387528657913208,NA
13,NA,8.484289169311523,0.001,NA,0.4046792685985565,NA,NA,8.29792594909668,NA,0.39287328720092773,NA
14,NA,8.287169456481934,0.001,NA,0.4074716866016388,NA,NA,8.105789184570312,NA,0.39450445771217346,NA
15,NA,8.094871520996094,0.001,NA,0.41241830587387085,NA,NA,7.9186015129089355,NA,0.39662203192710876,NA
16,NA,7.907386302947998,0.001,NA,0.4156408905982971,NA,NA,7.736272811889648,NA,0.400230348110199,NA
17,NA,7.7249064445495605,0.001,NA,0.41862964630126953,NA,NA,7.558851718902588,NA,0.4047130346298218,NA
18,NA,7.547119617462158,0.001,NA,0.42091017961502075,NA,NA,7.386031627655029,NA,0.4124374985694885,NA
19,NA,7.374792098999023,0.001,NA,0.4248237609863281,NA,NA,7.217839241027832,NA,0.41772568225860596,NA
20,NA,7.206577777862549,0.001,NA,0.4294213652610779,NA,NA,7.054277420043945,NA,0.4201618731021881,NA
